variety_id,crop,variety_name,year_of_release,stress_tolerance,key_attributes,states_acronyms,seasons,days_to_maturity,evidence_quality,stress_types_list,seednet_match,seednet_url,seednet_variety_id,search_results_total,institution,data_source
PADDY__DHAN___PR-114__A01021101,Rice,PR-124,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","HR, PB",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102164,A0102164,184,PAU,csc
BENGAL_GRAM__GRAM_CH__PUSA-212__A0410143,Soybean,Pusa 12,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, HR, DL, UK, UP, BR",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0302080,A0302080,163,Indian Agricultural Research Institute,csc
MAIZE__MAKKA___P-3540__A020716549,Maize,P-3580,2015,Yes,"Disease, Heat, Salt","AP, KA, TN, MH",Unknown,,Low,Disease|Heat|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207705,A0207705,18,Pioneer Overseas Corporation,csc
PEARL_MILLET__BAJRA___86M90__A0209429,Pearl Millet,86M01,2015,No,Standard variety,"RJ, GJ, HR, UP, MP, PB, DL, AP, KA, TN, MH",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0209426,A0209426,2,Pioneer Overseas Corporation,csc
PADDY__DHAN___Shalimar_Rice-2__nan,Rice,Shalimar Rice-2,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021709,A01021709,115,SKUAST,csc
PADDY__DHAN___Shalimar_Rice-3__nan,Rice,Shalimar Rice-3,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021707,A01021707,137,SKUAST,csc
WHEAT__GEHON___Shalimar_Wheat-2__SKW-355___nan,Bread Wheat,Shalimar Wheat-2,2015,No,Standard variety,"JAM, JK",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0104618,A0104618,0,SKUAST,csc
OAT__Shalimar_Fodder_Oats-3__nan,Fodder Oat,Shalimar Fodder Oats-4,2015,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK",Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0609052,A0609052,31,SKUAST,csc
LENTIL__MASUR___Shalimar_Masoor-3__A0309103,Lentil,Shalimar Masoor-2,2015,Yes,"Disease, Drought, Flood, Heat, Pest","JAM, JK",Unknown,,Low,Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0309121,A0309121,16,SKUAST,csc
BRINJAL__Arka_Avinash__nan,Brinjal,Arka Avinash,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","KA, KL, TN",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217522,H070217522,79,ICAR- IIHR,csc
BRINJAL__Phule_Krishna__H070217531,Brinjal or eggplant,Pusa Krishna,2022,No,Standard variety,"MP, MH",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070216633,H070216633,1,ICAR- IARI,csc
BRINJAL__Kashi_Brinjal_Green_Round__IVBR-17___nan,Brinjal,Kashi Brinjal Green Round,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, UP, BR, JH",Unknown,,Low,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217532,H070217532,14,"ICAR-IIVR, Post Box No. 01, Post Office Jakhnini (Shahanshahpur)",csc
